Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0313813075929248,-0.00081345874439115,-0.0203361388423792,0,0,0,0.604309821157325,0.000416903119588552,-7.75851863043537E-08,5.92025551326142E-06,0.000511553606302793,1.65439586335115E-07,0.000818001038576678,0,0,0,0,0,0,package://fooldog_urdf/meshes/base_link.STL,1,0,0,1,0,0,0,0,0,0,package://fooldog_urdf/meshes/base_link.STL,,baselink.step-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fl_Link,0.0362396128583494,0.000881421034328853,-0.0121399997669012,0,0,0,0.115606527774141,2.7672758582273E-05,3.61016816676796E-07,-6.54728431466397E-09,3.30818992521892E-05,2.55280788679725E-07,2.76816776750825E-05,0,0,0,0,0,0,package://fooldog_urdf/meshes/fl_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fooldog_urdf/meshes/fl_Link.STL,,fl.step-1,Origin_fl,Axis_fl,fl,continuous,0.00723678392728447,0.0485586045266115,-0.0196700000000003,0,0,0,base_link,1,0,0,,,,,,,,,,,,
flu_Link,-8.3100610129283E-08,0.00250249593004062,-0.0325001100766686,0,0,0,0.00356977187980691,1.54760219123258E-06,-1.97101940239977E-13,-1.11937080823944E-11,1.56961934496898E-06,6.87149175614032E-13,3.6891361382989E-08,0,0,0,0,0,0,package://fooldog_urdf/meshes/flu_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fooldog_urdf/meshes/flu_Link.STL,,flu.step-1,Origin_flu,Axis_flu,flu,continuous,0.0524464493931691,0.0209174990447602,-0.0240000000000004,0,0,0,fl_Link,0,1,0,,,,,,,,,,,,
fld_Link,-2.18695815623615E-09,0.00249999534071721,-0.0374999107536592,0,0,0,0.00406938938923673,2.2827457514132E-06,-1.78424846650356E-14,-9.64938373066733E-12,2.30788290654951E-06,7.26000690668644E-13,4.20931619021605E-08,0,0,0,0,0,0,package://fooldog_urdf/meshes/fld_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fooldog_urdf/meshes/fld_Link.STL,,fld.step-1,Origin_fld,Axis_fld,fld,continuous,0,0.00500250095523978,-0.0649999643759598,0,0,0,flu_Link,0,1,0,,,,,,,,,,,,
flf_Link,-1.7541244572844E-07,0.00250004386431849,6.64767560998314E-08,0,0,0,0.000392662064001443,3.27416101920322E-09,1.37752604700155E-13,-4.67235530190916E-13,4.90800875634096E-09,-5.22046555243651E-14,3.26984780841236E-09,0,0,0,0,0,0,package://fooldog_urdf/meshes/flf_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fooldog_urdf/meshes/flf_Link.STL,,flf.step-1,Origin_flf,Axis_flf,flf,continuous,0,0.00499999999999999,-0.074999999999994,0,0,0,fld_Link,0,1,0,,,,,,,,,,,,
fr_Link,0.0353657573446796,-0.000881458634347174,-0.01213993551594,0,0,0,0.115607202953719,2.76734007268047E-05,3.37826313509432E-07,3.83056804594391E-09,3.30828494629692E-05,-2.55205398451743E-07,2.76822536893207E-05,0,0,0,0,0,0,package://fooldog_urdf/meshes/fr_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fooldog_urdf/meshes/fr_Link.STL,,fr.step-1,Origin_fr,Axis_fr,fr,continuous,0.00723678407973241,-0.0485586045266115,-0.0196700000000008,0,0,0,base_link,1,0,0,,,,,,,,,,,,
fru_Link,-9.60401154992407E-08,-0.00250250502519832,-0.0325000978434327,0,0,0,0.00356977238820035,1.54759961428198E-06,-1.97101704470595E-13,-6.88471641797329E-12,1.56961675869309E-06,6.8714897248459E-13,3.68913533286807E-08,0,0,0,0,0,0,package://fooldog_urdf/meshes/fru_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fooldog_urdf/meshes/fru_Link.STL,,fru.step-1,Origin_fru,Axis_fru,fru,continuous,0.0524464492407212,-0.0209174999999999,-0.0239999999999998,0,0,0,fr_Link,0,1,0,,,,,,,,,,,,
frd_Link,-2.18507476001939E-09,-0.00250000465928281,-0.0374999107245979,0,0,0,0.00406938939511331,2.28274575309022E-06,-1.78424846448734E-14,-1.5549255750963E-12,2.30788290877387E-06,7.2600069040035E-13,4.20931624641901E-08,0,0,0,0,0,0,package://fooldog_urdf/meshes/frd_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fooldog_urdf/meshes/frd_Link.STL,,frd.step-1,Origin_frd,Axis_frd,frd,continuous,0,-0.00500249999999999,-0.0649999643759603,0,0,0,fru_Link,0,1,0,,,,,,,,,,,,
frf_Link,-1.75412445735379E-07,-0.00249995613568155,6.64767560998314E-08,0,0,0,0.000392662064001445,3.27416101920321E-09,1.37752604691601E-13,-4.67235530206812E-13,4.90800875634099E-09,-5.2204655523192E-14,3.26984780841239E-09,0,0,0,0,0,0,package://fooldog_urdf/meshes/frf_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fooldog_urdf/meshes/frf_Link.STL,,frf.step-1,Origin_frf,Axis_frf,frf,continuous,0,-0.005,-0.074999999999994,0,0,0,frd_Link,0,1,0,,,,,,,,,,,,
bl_Link,-0.0353656984838925,0.000881421071971408,-0.0121399784381246,0,0,0,0.115606746709192,2.76728053327667E-05,3.3785144523757E-07,-3.82770738138678E-09,3.30820511910554E-05,2.55278303662232E-07,2.76818219754704E-05,0,0,0,0,0,0,package://fooldog_urdf/meshes/bl_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fooldog_urdf/meshes/bl_Link.STL,,bl.step-1,Origin_bl,Axis_bl,bl,continuous,-0.0692103140818923,0.0485586045266112,-0.0196700000000008,0,0,0,base_link,1,0,0,,,,,,,,,,,,
blu_Link,1.1228012866682E-07,0.00250249440029281,-0.032500098852133,0,0,0,0.00356977238751855,1.54759981979417E-06,9.94211959482504E-14,5.39826442711664E-12,1.56961637954596E-06,6.26996673026569E-13,3.68907686642067E-08,0,0,0,0,0,0,package://fooldog_urdf/meshes/blu_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fooldog_urdf/meshes/blu_Link.STL,,blu.step-1,Origin_blu,Axis_blu,blu,continuous,-0.0524464492407207,0.0209175,-0.0239999999999998,0,0,0,bl_Link,0,1,0,,,,,,,,,,,,
bld_Link,-1.48403035404865E-06,0.00249999533943603,-0.0374999107290417,0,0,0,0.00406938939249337,2.2827457410441E-06,-1.77627036630698E-14,-9.15969091535514E-11,2.30788289894054E-06,7.26289520460782E-13,4.20931646573267E-08,0,0,0,0,0,0,package://fooldog_urdf/meshes/bld_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fooldog_urdf/meshes/bld_Link.STL,,bld.step-1,Origin_bld,Axis_bld,bld,continuous,0,0.00500249999999998,-0.0649999643759606,0,0,0,blu_Link,0,1,0,,,,,,,,,,,,
blf_Link,-1.75408453165216E-07,0.00250004386431849,6.64936707639452E-08,0,0,0,0.00039266206400142,3.27416093160848E-09,1.37749469314318E-13,-4.67362462897062E-13,4.90800876098625E-09,-5.22179387556621E-14,3.26984790065226E-09,0,0,0,0,0,0,package://fooldog_urdf/meshes/blf_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fooldog_urdf/meshes/blf_Link.STL,,blf.step-1,Origin_blf,Axis_blf,blf,continuous,0,0.00499999999999999,-0.074999999941437,0,0,0,bld_Link,0,1,0,,,,,,,,,,,,
br_Link,-0.0362397199110994,-0.000881456036391337,-0.0121399127339061,0,0,0,0.115607363509946,2.76734322521145E-05,3.60978319233135E-07,6.55980950809089E-09,3.30829941252106E-05,-2.55207890327998E-07,2.76823756757094E-05,0,0,0,0,0,0,package://fooldog_urdf/meshes/br_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fooldog_urdf/meshes/br_Link.STL,,br.step-1,Origin_br,Axis_br,br,continuous,-0.069210317591168,-0.0485586045266115,-0.0196700000000008,0,0,0,base_link,1,0,0,,,,,,,,,,,,
bru_Link,1.02849901359447E-07,-0.00250250559970802,-0.0325001110853673,0,0,0,0.00356977187912478,1.5476023967445E-06,9.94214576251833E-14,9.70725542679528E-12,1.56961896582311E-06,6.26996918220703E-13,3.68907767200401E-08,0,0,0,0,0,0,package://fooldog_urdf/meshes/bru_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fooldog_urdf/meshes/bru_Link.STL,,bru.step-1,Origin_bru,Axis_bru,bru,continuous,-0.052446449240721,-0.0209174999999999,-0.0239999999999998,0,0,0,br_Link,0,1,0,,,,,,,,,,,,
brd_Link,-1.48402847253981E-06,-0.00250000466056437,-0.0374999107581021,0,0,0,0.00406938938661598,2.28274574000674E-06,-1.77626978067659E-14,-8.35024509948514E-11,2.30788289671611E-06,7.26289512701157E-13,4.20931634555637E-08,0,0,0,0,0,0,package://fooldog_urdf/meshes/brd_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fooldog_urdf/meshes/brd_Link.STL,,brd.step-1,Origin_brd,Axis_brd,brd,continuous,0,-0.00500249999999999,-0.0649999643759606,0,0,0,bru_Link,0,1,0,,,,,,,,,,,,
brf_Link,-1.75408453165216E-07,-0.00249995613568155,6.64936707917008E-08,0,0,0,0.000392662064001423,3.27416093160849E-09,1.37749469310933E-13,-4.67362462889038E-13,4.90800876098628E-09,-5.22179387502366E-14,3.2698479006523E-09,0,0,0,0,0,0,package://fooldog_urdf/meshes/brf_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://fooldog_urdf/meshes/brf_Link.STL,,brf.step-1,Origin_brf,Axis_brf,brf,continuous,0,-0.005,-0.074999999941437,0,0,0,brd_Link,0,1,0,,,,,,,,,,,,
